Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Media
8610629647,"Feb 23, 2023, 4:22:19 PM",day 6,Run,,7137,7.61,,,false,,,activities/8610629647.gpx,,,7137.0,6913.0,7611.72021484375,5.909732341766357,1.1010733842849731,40.21931076049805,38.4193115234375,123.19999694824219,156.8000030517578,12.163342475891113,0.023647742345929146,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,7677.10009765625,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.066515326499939,0.0,,,,,,,,,,,,""
8615481278,"Feb 24, 2023, 4:35:27 PM",midnight again,Run,,3808,6.01,,,false,,,activities/8615481278.gpx,,,3808.0,3182.0,6011.31982421875,4.150000095367432,1.8891639709472656,27.934417724609375,27.734416961669922,151.1999969482422,172.5,9.485098838806152,0.003327056299895048,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,6036.2998046875,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.578602910041809,0.0,,,,,,,,,,,,media/3292121f-6d51-473f-b6d8-9d824972bd31.jpg|media/e4366d8b-6202-4957-9553-5d3473686381.jpg|media/d208cf5c-0cd7-44fb-b9d3-e09fce9fb08e.jpg|media/91750357-a602-4f5b-99c0-6787d9a3c40f.jpg|media/6e010f4e-6071-4627-9249-51e899b334bd.jpg|media/a47f6bc1-1888-4466-ba51-8ea2260b6e47.jpg|media/c5c1bab9-37fd-419a-bf65-6301c85970fd.jpg|media/7fad85d3-1fc0-40f2-b53a-340669aad57f.jpg
8621302888,"Feb 25, 2023, 5:11:20 PM","midnight again, project50",Run,,3387,5.81,,,false,,,activities/8621302888.gpx,,,3387.0,2838.0,5809.490234375,4.320019721984863,2.047036647796631,29.50111198425293,27.50111198425293,151.1999969482422,171.8000030517578,11.029406547546387,0.034426428377628326,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,5842.2001953125,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.7152318954467773,646.9000244140625,,,,,,,,,,,,media/50960ad4-9d4c-4c6a-b4e0-2bd3b19a42eb.jpg|media/4d29d94d-651e-4fc7-8987-9993db827f0c.jpg|media/c4501530-5fa5-40bc-850c-c8e604450ce5.jpg|media/4c8f73e4-c31e-41b4-a355-aa60075d28ae.jpg|media/9d5e4990-e6f2-4429-8409-196111a4bf74.jpg|media/ef4dabd9-6bb9-4358-bf70-1e78b426f5d1.jpg
8627085329,"Feb 26, 2023, 4:25:55 PM",project50,Run,,3538,5.73,,,false,,,activities/8627085329.gpx,,,3538.0,2909.0,5730.6298828125,4.5279998779296875,1.9699655771255493,26.111347198486328,28.111347198486328,151.1999969482422,171.8000030517578,11.235947608947754,-0.034900177270174026,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,5747.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.619737148284912,611.4000244140625,,,,,,,,,,,,media/3cfa0c14-d993-4453-a9c0-44df528330f7.jpg|media/d25c1896-bbe9-4125-96a2-cb71f272d426.jpg|media/a8f952a1-5bf5-418e-9f21-1a2e326bc877.jpg|media/2f55423b-b040-4537-b03c-1292b799ab89.jpg|media/c84d6a51-b8d1-48f9-a4ce-e458d7e16cee.jpg|media/a437f753-3f0d-442a-a7eb-41ef01aac204.jpg|media/539a58cd-a0cc-4364-a8d5-1023eb48de35.jpg|media/9f83adfc-fc1a-449a-8adb-d7540c7d7a53.jpg|media/cc808f69-fe09-471f-860a-b4eeacb67358.jpg
8646629135,"Mar 2, 2023, 11:11:30 AM",project50,Run,,1246,2.47,,,false,,,activities/8646629135.gpx,,,1246.0,1119.0,2478.280029296875,4.417993068695068,2.2147274017333984,17.022220611572266,14.722219467163086,150.39999389648438,156.8000030517578,11.656943321228027,0.09280630201101303,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,2515.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.9889887571334839,0.0,,,,,,,,,,,,""
8652219836,"Mar 3, 2023, 11:32:20 AM",project50,Run,,2443,5.02,,,false,,,activities/8652219836.gpx,,,2443.0,2291.0,5023.990234375,4.784960746765137,2.1929244995117188,30.673038482666016,30.37303924560547,145.89999389648438,157.89999389648438,11.168588638305664,0.005971349310129881,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,5070.7001953125,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0564839839935303,118.4000015258789,,,,,,,,,,,,media/6d733a5e-0454-45d6-96de-c75f6d854904.jpg
8657174333,"Mar 4, 2023, 10:23:45 AM",just for fun ,Walk,,2751,4.32,,,false,,,activities/8657174333.gpx,,,2751.0,2751.0,4321.4501953125,6.602002143859863,1.5708651542663574,23.4835262298584,23.383525848388672,150.39999389648438,156.89999389648438,13.31556224822998,0.0023140381090343,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.5708651542663574,0.0,,,,,,,,,,,,""
8672450500,"Mar 6, 2023, 10:32:48 PM",just walk,Walk,,4329,6.06,,,false,,,activities/8672450500.gpx,,,4329.0,4263.0,6067.18017578125,4.1240234375,1.4232184886932373,29.000120162963867,29.000120162963867,151.1999969482422,168.39999389648438,12.840113639831543,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.401520013809204,0.0,,,,,,,,,,,,""
9024180119,"May 6, 2023, 10:40:35 PM",af,Walk,,3652,6.12,,,false,,,activities/9024180119.gpx,,,3652.0,3607.0,6121.6298828125,5.239127159118652,1.6971527338027954,22.038461685180664,19.938461303710938,154.3000030517578,176.5,7.285971164703369,0.03430458903312683,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.67624032497406,334.8999938964844,,,,,,,,,,,,media/1f5cee7d-c6d0-421b-b2e1-5403ed44691f.jpg
9038578926,"May 9, 2023, 9:49:46 AM",5 km,Run,,2808,5.07,,,false,,,activities/9038578926.gpx,,,2808.0,2507.0,5075.0498046875,6.194043159484863,2.0243518352508545,0.0,0.0,175.0,176.5,1.6433794498443604,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,5079.2001953125,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.8073539733886719,0.0,,,,,,,,,,,,media/bd2f9a44-f900-4f38-85ee-c735a32b92ba.jpg
